,round,day_week,date,hour,home,goal_home,goal_away,away,public,stadium,referee,number_match
1,1,sat,2015-08-08,12:45,Manchester Utd,1,0,Tottenham,75.261,Old Trafford,Jonathan Moss,12119
2,1,sat,2015-08-08,15:00,Norwich City,1,3,Crystal Palace,27.036,Carrow Road,Simon Hooper,12120
3,1,sat,2015-08-08,15:00,Leicester City,4,2,Sunderland,32.242,King Power Stadium,Lee Mason,12118
4,1,sat,2015-08-08,15:00,Everton,2,2,Watford,39.063,Goodison Park,Mike Jones,12117
5,1,sat,2015-08-08,15:00,Bournemouth,0,1,Aston Villa,11.155,Vitality Stadium,Mark Clattenburg,12115
6,1,sat,2015-08-08,17:30,Chelsea,2,2,Swansea City,41.232,Stamford Bridge,Michael Oliver,12116
7,1,dom,2015-08-09,13:30,Newcastle Utd,2,2,Southampton,49.019,St. James' Park,Craig Pawson,12122
8,1,dom,2015-08-09,13:30,Arsenal,0,2,West Ham,59.996,Emirates Stadium,Martin Atkinson,12121
9,1,dom,2015-08-09,16:00,Stoke City,0,1,Liverpool,27.654,Bet365 Stadium,Anthony Taylor,12123
10,1,mon,2015-08-10,20:00,West Brom,0,3,Manchester City,24.564,The Hawthorns,Mike Dean,12124
11,2,fri,2015-08-14,19:45,Aston Villa,0,1,Manchester Utd,42.200,Villa Park,Mike Dean,12125
12,2,sat,2015-08-15,12:45,Southampton,0,3,Everton,30.966,St. Mary's Stadium,Michael Oliver,12126
13,2,sat,2015-08-15,15:00,Sunderland,1,3,Norwich City,41.379,Stadium of Light,Kevin Friend,12127
14,2,sat,2015-08-15,15:00,Watford,0,0,West Brom,20.011,Vicarage Road Stadium,Paul Tierney,12130
15,2,sat,2015-08-15,15:00,West Ham,1,2,Leicester City,34.857,Boleyn Ground,Anthony Taylor,12131
16,2,sat,2015-08-15,15:00,Swansea City,2,0,Newcastle Utd,20.678,Liberty Stadium,Mike Jones,12128
17,2,sat,2015-08-15,15:00,Tottenham,2,2,Stoke City,36.004,White Hart Lane,Robert Madley,12129
18,2,dom,2015-08-16,13:30,Crystal Palace,1,2,Arsenal,24.732,Selhurst Park,Lee Mason,12132
19,2,dom,2015-08-16,16:00,Manchester City,3,0,Chelsea,54.331,Etihad Stadium,Martin Atkinson,12133
20,2,mon,2015-08-17,20:00,Liverpool,1,0,Bournemouth,44.102,Anfield,Craig Pawson,12134
21,3,sat,2015-08-22,12:45,Manchester Utd,0,0,Newcastle Utd,75.354,Old Trafford,Craig Pawson,12137
22,3,sat,2015-08-22,15:00,Leicester City,1,1,Tottenham,31.971,King Power Stadium,Martin Atkinson,12136
23,3,sat,2015-08-22,15:00,Crystal Palace,2,1,Aston Villa,25.295,Selhurst Park,Keith Stroud,12135
24,3,sat,2015-08-22,15:00,Norwich City,1,1,Stoke City,26.771,Carrow Road,Mike Dean,12138
25,3,sat,2015-08-22,15:00,West Ham,3,4,Bournemouth,34.977,Boleyn Ground,Jonathan Moss,12140
26,3,sat,2015-08-22,15:00,Sunderland,1,1,Swansea City,39.198,Stadium of Light,Niel Swarbrick,12139
27,3,dom,2015-08-23,13:30,West Brom,2,3,Chelsea,23.256,The Hawthorns,Mark Clattenburg,12143
28,3,dom,2015-08-23,16:00,Watford,0,0,Southampton,20.166,Vicarage Road Stadium,Andre Marriner,12142
29,3,dom,2015-08-23,16:00,Everton,0,2,Manchester City,38.523,Goodison Park,Anthony Taylor,12141
