,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Manchester Utd,Wayne Rooney,10,ENG,FW,90,1,1,0,0,3,2,0,0,2,1,1,2,0,0,0,,,,,,
1,Manchester Utd,Anthony Martial,11,FRA,AM,78,1,1,0,0,5,2,1,0,4,2,2,3,0,0,0,,,,,,
2,Manchester Utd,Memphis Depay,7,NED,"FW,MF",12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,
3,Manchester Utd,Juan Mata,8,ESP,AM,87,0,0,0,0,5,0,0,0,0,1,0,2,0,2,0,,,,,,
4,Manchester Utd,Andreas Pereira,44,BRA,MF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,Manchester Utd,Jesse Lingard,14,ENG,AM,90,1,0,0,0,1,1,0,0,3,4,0,0,2,1,0,,,,,,
6,Manchester Utd,Michael Carrick,16,ENG,DM,90,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,,,,,,
7,Manchester Utd,Marouane Fellaini,27,BEL,DM,79,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,,,,,,
8,Manchester Utd,Ander Herrera,21,ESP,MF,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
9,Manchester Utd,Cameron Borthwick-Jackson,43,ENG,LB,90,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,,,,,,
10,Manchester Utd,Daley Blind,17,NED,CB,90,0,0,0,0,0,0,0,0,2,0,0,2,4,3,0,,,,,,
11,Manchester Utd,Chris Smalling,12,ENG,CB,90,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,,,,,,
12,Manchester Utd,Matteo Darmian,36,ITA,RB,90,0,0,0,0,0,0,1,0,1,1,0,2,4,3,0,,,,,,
13,Manchester Utd,David de Gea,1,ESP,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0.0,
0,Stoke City,Peter Crouch,25,ENG,FW,90,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,,,,,,
1,Stoke City,Marko Arnautović,10,AUT,AM,90,0,0,0,0,2,0,0,0,1,1,0,2,2,1,0,,,,,,
2,Stoke City,Bojan Krkić,27,ESP,AM,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
3,Stoke City,Stephen Ireland,7,IRL,MF,31,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,,,,
4,Stoke City,Jonathan Walters,19,IRL,AM,90,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,,,,,,
5,Stoke City,Ibrahim Afellay,14,NED,DM,90,0,0,0,0,3,0,0,0,1,2,0,5,0,0,0,,,,,,
6,Stoke City,Glenn Whelan,6,IRL,DM,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,
7,Stoke City,Erik Pieters,3,NED,LB,90,0,0,0,0,1,0,0,0,2,1,0,5,2,2,0,,,,,,
8,Stoke City,Marc Muniesa,5,ESP,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,,,,,,
9,Stoke City,Philipp Wollscheid,26,GER,CB,29,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,,,,
10,Stoke City,Phil Bardsley,2,SCO,DF,61,0,0,0,0,1,0,0,0,2,3,0,2,2,1,0,,,,,,
11,Stoke City,Glen Johnson,8,ENG,RB,90,0,0,0,0,2,0,0,0,1,2,0,0,2,2,0,,,,,,
12,Stoke City,Jack Butland,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,3.0,2.0,40.0
