,team,Player,Number_player,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%
0,Norwich City,Lewis Grabban,7,ENG,FW,53,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,,,,,,
1,Norwich City,Cameron Jerome,10,ENG,FW,37,0,0,0,0,1,0,0,0,3,0,2,0,1,0,0,,,,,,
2,Norwich City,Bradley Johnson,4,ENG,CM,90,0,0,0,0,4,1,0,0,3,3,0,1,3,0,0,,,,,,
3,Norwich City,Wes Hoolahan,14,IRL,CM,90,0,1,0,0,0,0,0,0,0,6,0,1,1,1,0,,,,,,
4,Norwich City,Graham Dorrans,4,SCO,LM,79,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,,,,,,
5,Norwich City,Gary Hooper,11,ENG,FW,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
6,Norwich City,Jonny Howson,8,ENG,RM,90,0,0,0,0,1,0,0,0,0,0,1,5,4,2,0,,,,,,
7,Norwich City,Alexander Tettey,27,NOR,CM,53,0,0,0,0,2,0,1,0,3,1,0,0,1,0,0,,,,,,
8,Norwich City,Nathan Redmond,22,ENG,"FW,MF",37,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,,,,,,
9,Norwich City,Robbie Brady,12,IRL,LB,90,0,0,0,0,3,1,0,0,1,2,0,7,2,0,0,,,,,,
10,Norwich City,Sébastien Bassong,6,CMR,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,,,,,,
11,Norwich City,Russell Martin,5,SCO,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,,,,,,
12,Norwich City,Steven Whittaker,2,SCO,RB,90,0,0,0,0,2,2,0,0,0,1,0,2,3,0,0,,,,,,
13,Norwich City,John Ruddy,1,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.0,3.0,4.0,57.1
0,Crystal Palace,Glenn Murray,17,ENG,FW,81,0,0,0,0,1,1,0,0,6,1,1,1,0,0,0,,,,,,
1,Crystal Palace,Connor Wickham,21,ENG,"FW,MF",9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
2,Crystal Palace,Jordon Mutch,22,ENG,AM,71,0,0,0,0,2,1,0,0,2,1,1,2,2,1,0,,,,,,
3,Crystal Palace,Mile Jedinak,15,AUS,MF,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
4,Crystal Palace,Jason Puncheon,42,ENG,DM,90,0,1,0,0,1,0,0,0,1,1,0,5,1,0,0,,,,,,
5,Crystal Palace,James McArthur,18,SCO,DM,90,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,,,,,,
6,Crystal Palace,Yohan Cabaye,7,FRA,DM,90,1,0,0,0,2,2,0,0,2,1,0,3,4,4,0,,,,,,
7,Crystal Palace,Wilfried Zaha,11,CIV,DM,71,1,0,0,0,1,1,0,0,1,3,0,2,0,0,0,,,,,,
8,Crystal Palace,Yannick Bolasie,10,COD,"FW,MF",19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
9,Crystal Palace,Pape Souaré,23,SEN,LB,90,0,1,0,0,0,0,0,0,2,4,0,3,1,3,0,,,,,,
10,Crystal Palace,Damien Delaney,27,IRL,CB,90,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
11,Crystal Palace,Scott Dann,6,ENG,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,
12,Crystal Palace,Joel Ward,2,ENG,RB,90,0,0,0,0,1,0,0,0,2,2,0,2,3,1,0,,,,,,
13,Crystal Palace,Alex McCarthy,12,ENG,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,1.0,4.0,80.0
